Description,Location(s),Note(s),Manufacturer,Manufacturer Part No.,Package,Quantity,Required,Pads,Total Pads,Price ($),Total Price Min,Total Price Max,LCSC Part Number,Assembled,Extended Part,URL,
,,,,,,,,,,,,,,,,,
Low Noise CMOS OpAmp,U1-4,,Analog Devices,AD8605ARTZ-REEL7,SOT-23-5,4,4,5,20,0.4676,1.8704,1.8704,C9641,1,1,https://lcsc.com/product-detail/Low-Noise-OpAmps_ADI_AD8605ARTZ-REEL7_AD8605ARTZ-REEL7_C9641.html,
Darlington Transistor Array,"U5, U6",,Texas Instruments,ULN2803A,18-SOIC,2,2,18,36,0.5011,1.0022,1.0022,C9683,1,0,https://lcsc.com/product-detail/Darlington-transistor-array-driver_Texas-Instruments-ULN2803ADWR_C9683.html,
5V to 3.3V Linear Regulator (>200mA),U7,,Texas Instruments,TPS73433DDCR,SOT-23-5,1,1,5,5,0.6,0.6,0.6,C52879,1,1,https://lcsc.com/product-detail/Low-Dropout-Regulators-LDO_TI_TPS73433DDCR_TPS73433DDCR_C52879.html,
Voltage Reference (3.3V),U8,,Texas Instruments,LM4132AMF-3.3/NOPB,SOT-23-5,1,1,5,5,2.4131,2.4131,2.4131,C181258,1,1,https://lcsc.com/product-detail/Voltage-References_TI_LM4132AMF-3-3-NOPB_LM4132AMF-3-3-NOPB_C181258.html,
USB Protection IC,U9,,STMicroelectronics,USBLC6-2SC6,SOT-23-6,1,1,6,6,0.0965,0.0965,0.0965,C7519,1,1,https://lcsc.com/product-detail/Diodes-ESD_STMicroelectronics_USBLC6-2SC6_USBLC6-2SC6_C7519.html,
170MHz Cortex-M4F Microcontroller,U10,,STMicroelectronics,STM32G474CET6,48-LQFP,1,1,48,48,5.633,5.633,5.633,,0,,https://www.digikey.co.uk/product-detail/en/stmicroelectronics/STM32G474CET6/497-STM32G474CET6-ND/10326773,
Micro-USB Connector,J1,,XKB Enterprise,U254-051N-4BH806,,1,1,9,9,0.057722,0.057722,0.057722,C319170,0,,https://lcsc.com/product-detail/USB-Connectors_XKB-Enterprise-U254-051N-4BH806_C319170.html,
Male Pin Header SMD 2.54mm Horizontal,J2,Debug,,,,1,0,6,6,0.773,0,0.773,,0,,https://www.digikey.co.uk/product-detail/en/samtec-inc/TSM-103-01-L-DH/SAM9026-ND/2501234,
Male Pin Header SMD 2.54mm Horizontal,J3,Extension,Harwin Inc.,M20-8890645,,1,0,6,6,0.711,0,0.711,,0,,https://www.digikey.co.uk/product-detail/en/harwin-inc/M20-8890645/952-3235-ND/6565719,
"Photodiode, 570nm (400- 900)",PD1,,OSRAM Opto Semiconductors Inc.,SFH 2430-Z,,1,1,2,2,1.403,1.403,1.403,,0,,https://www.digikey.co.uk/product-detail/en/osram-opto-semiconductors-inc/SFH-2430-Z/475-2579-1-ND/1228076,
"Photodiode, 820nm (800-1100)",PD2,,Vishay Semiconductor Opto Division ,VEMD1060X01,0805D,1,1,2,2,0.775,0.775,0.775,,0,,https://www.digikey.co.uk/product-detail/en/vishay-semiconductor-opto-division/VEMD1060X01/VEMD1060X01CT-ND/5879093,
"Photodiode, 940nm (700-1100)",PD3,,Inolux,IN-S126BTNPD,1206D,1,1,2,2,0.345,0.345,0.345,,0,,https://www.digikey.co.uk/product-detail/en/inolux/IN-S126BTNPD/1830-IN-S126BTNPDCT-ND/10384816,
"Photodiode, 1560nm (800-1700)",PD4,,Advanced Photonix,003-151-001,1206D,1,1,2,2,2.888,2.888,2.888,,0,,https://www.digikey.co.uk/product-detail/en/advanced-photonix/003-151-001/209-003-151-001CT-ND/5222595,
"LED, 850nm, 20mA, 1.45V",LD1,,Stanley Electric Co,HDN1102W-TR,1206D,1,1,2,2,0.503,0.503,0.503,,0,,https://www.digikey.co.uk/product-detail/en/stanley-electric-co/HDN1102W-TR/404-1329-1-ND/9477334,
"LED, 880nm, 20mA, 1.3V",LD2,,Kingbright,APT1608SF4C-PRV,0603D,1,1,2,2,0.406,0.406,0.406,,0,,https://www.digikey.co.uk/product-detail/en/kingbright/APT1608SF4C-PRV/754-1859-1-ND/4977031,
"LED, 940nm, 20mA, 1.2V",LD3,,Everlight Electronics Co Ltd,IR17-21C/TR8,0805D,1,1,2,2,0.338,0.338,0.338,,0,,https://www.digikey.co.uk/product-detail/en/everlight-electronics-co-ltd/IR17-21C-TR8/1080-1353-1-ND/2676087,
"LED, 1040nm, 50mA, 1,3V",LD4,,Marktech Optoelectronics,MTSM4110MT2-BK,PLCC-2,1,1,2,2,16.178,16.178,16.178,,0,,https://www.digikey.co.uk/product-detail/en/marktech-optoelectronics/MTSM4110MT2-BK/1125-MTSM4110MT2-BKCT-ND/11307533,
"LED, 1200nm, 20mA, 1V",LD5,,Marktech Optoelectronics,MTSM0012-199-IR,1206D,1,1,2,2,19.553,19.553,19.553,,0,,https://www.digikey.co.uk/product-detail/en/marktech-optoelectronics/MTSM0012-199-IR/1125-1331-ND/5872600,
"LED, 1450nm, 20mA, 1V",LD6,,Marktech Optoelectronics,MTSM5014-199-IR,1206D,1,1,2,2,19.553,19.553,19.553,,0,,https://www.digikey.co.uk/product-detail/en/marktech-optoelectronics/MTSM5014-199-IR/1125-1346-ND/5872615,
"LED, 1550nm, 20mA, 1V",LD7,,Marktech Optoelectronics,MTSM5015-199-IR,1206D,1,1,2,2,19.553,19.553,19.553,,0,,https://www.digikey.co.uk/product-detail/en/marktech-optoelectronics/MTSM5015-199-IR/1125-1350-ND/5872619,
"LED, 1650nm, 20mA, 1V",LD8,,Marktech Optoelectronics,MTSM5016-199-IR,1206D,1,1,2,2,19.553,19.553,19.553,,0,,https://www.digikey.co.uk/product-detail/en/marktech-optoelectronics/MTSM5016-199-IR/1125-1354-ND/5872623,
"LED, 740nm, 20mA, 1.7V",LD9,,Marktech Optoelectronics,MTSM0074-843-IR,1206D!,1,1,2,2,2.875,2.875,2.875,,0,,https://www.digikey.co.uk/product-detail/en/marktech-optoelectronics/MTSM0074-843-IR/1125-1336-ND/5872605,Assembly Warning: LED has ANODE mark!
"LED, 660nm, 20mA, 1.8V",LD10,,OSRAM Opto Semiconductors Inc.,LH R974-LP-1,0805D!,1,1,2,2,0.191,0.191,0.191,,0,,https://www.digikey.co.uk/product-detail/en/osram-opto-semiconductors-inc/LH-R974-LP-1/475-1415-1-ND/1802604,Assembly Warning: LED has ANODE mark!
"LED, 638nm, 20mA, 2.1V",LD11,,Stanley Electric Co,FKR1111C-TR,0603D,1,1,2,2,0.3,0.3,0.3,,0,,https://www.digikey.co.uk/product-detail/en/stanley-electric-co/FKR1111C-TR/404-1269-1-ND/9477274,
"LED, 612nm, 20mA, 2V",LD12,,Broadcom Limited,ASMT-RJ45-AQ502,0603D,1,1,2,2,0.303,0.303,0.303,,0,,https://www.digikey.co.uk/product-detail/en/broadcom-limited/ASMT-RJ45-AQ502/516-ASMT-RJ45-AQ502CT-ND/10511987,
"LED, 590nm, 20mA, 2V",LD13,,Kingbright,APT2012SYCK,0805D,1,1,2,2,0.297,0.297,0.297,,0,,https://www.digikey.co.uk/product-detail/en/kingbright/APT2012SYCK/754-1134-1-ND/1747851,
